,date,temp_C,precip_mm,wind_avg_ms,sun_hours,humidity_pct,visibility_min_m,visibility_max_m
24259,2017-06-02,20.3,0.0,2.3,11.7,59.0,20000.0,47000.0
24260,2017-06-03,17.7,2.4,3.5,8.1,79.0,7000.0,32000.0
24261,2017-06-04,15.4,0.0,5.0,12.9,71.0,6000.0,42000.0
24262,2017-06-05,17.0,0.0,4.8,7.6,64.0,20000.0,47000.0
24263,2017-06-06,14.4,8.5,9.8,2.0,74.0,5000.0,47000.0
24264,2017-06-07,14.3,2.2,10.8,3.7,71.0,8000.0,32000.0
24265,2017-06-08,16.3,1.8,5.9,4.9,77.0,3200.0,32000.0
24266,2017-06-09,16.1,14.0,5.9,7.4,81.0,3500.0,25000.0
24267,2017-06-10,18.0,0.0,4.5,10.3,71.0,9000.0,47000.0
24268,2017-06-11,19.7,0.0,5.2,9.3,67.0,16000.0,42000.0
24269,2017-06-12,16.3,0.0,8.0,4.0,71.0,16000.0,26000.0
24270,2017-06-13,16.2,0.0,4.0,13.0,71.0,15000.0,42000.0
24271,2017-06-14,18.1,0.0,2.5,14.9,68.0,7000.0,47000.0
24272,2017-06-15,19.8,0.0,5.7,10.7,67.0,11000.0,37000.0
24273,2017-06-16,16.1,0.0,6.2,5.8,70.0,20000.0,42000.0
24274,2017-06-17,18.6,0.0,3.7,7.8,77.0,10000.0,32000.0
24275,2017-06-18,21.4,0.0,1.9,15.2,70.0,6000.0,42000.0
24276,2017-06-19,24.2,0.0,2.5,14.3,65.0,15000.0,42000.0
24277,2017-06-20,21.1,0.0,4.8,9.9,71.0,9000.0,32000.0
24278,2017-06-21,20.7,0.0,4.1,13.1,65.0,25000.0,37000.0
24279,2017-06-22,21.6,6.8,6.3,6.4,73.0,900.0,37000.0
24280,2017-06-23,18.6,0.1,7.0,5.6,74.0,6000.0,32000.0
24281,2017-06-24,18.1,1.7,7.8,1.3,85.0,2800.0,25000.0
24282,2017-06-25,17.3,4.1,6.8,0.7,84.0,5000.0,32000.0
24283,2017-06-26,16.1,0.0,3.8,11.5,68.0,15000.0,42000.0
24284,2017-06-27,17.5,1.1,5.0,4.9,69.0,6000.0,37000.0
24285,2017-06-28,17.9,1.7,4.8,0.1,89.0,5500.0,17000.0
24286,2017-06-29,17.1,0.6,3.7,2.4,81.0,9000.0,25000.0
24287,2017-06-30,16.4,5.6,3.7,0.5,85.0,5500.0,32000.0
24288,2017-07-01,16.3,4.6,4.8,2.5,85.0,5500.0,25000.0
24289,2017-07-02,15.8,0.1,5.0,7.1,77.0,7000.0,32000.0
24290,2017-07-03,17.2,0.3,6.3,8.3,77.0,10000.0,32000.0
24291,2017-07-04,18.2,0.0,2.0,7.9,69.0,2700.0,47000.0
24292,2017-07-05,19.0,0.0,2.9,13.0,73.0,16000.0,47000.0
24293,2017-07-06,20.4,16.5,3.0,8.2,76.0,3700.0,42000.0
24294,2017-07-07,19.8,8.1,3.5,8.0,85.0,5500.0,25000.0
24295,2017-07-08,18.1,0.4,3.0,3.4,77.0,6000.0,37000.0
24296,2017-07-09,17.8,0.0,2.3,14.8,68.0,15000.0,47000.0
24297,2017-07-10,19.2,0.1,3.4,2.9,73.0,16000.0,37000.0
24298,2017-07-11,18.2,3.6,4.8,3.3,78.0,8000.0,42000.0
24299,2017-07-12,15.5,23.0,4.9,5.1,80.0,4000.0,42000.0
24300,2017-07-13,15.3,0.0,1.5,4.6,74.0,15000.0,42000.0
24301,2017-07-14,15.3,6.3,5.3,6.6,79.0,9000.0,42000.0
24302,2017-07-15,17.3,0.2,4.3,5.5,72.0,6000.0,47000.0
24303,2017-07-16,18.2,1.9,4.2,0.0,89.0,3000.0,24000.0
24304,2017-07-17,18.0,0.0,2.4,13.7,69.0,2500.0,42000.0
24305,2017-07-18,19.5,0.0,4.6,11.2,70.0,20000.0,42000.0
24306,2017-07-19,22.9,0.1,5.2,8.0,69.0,12000.0,32000.0
24307,2017-07-20,19.1,2.0,4.6,1.8,84.0,9000.0,25000.0
24308,2017-07-21,18.4,0.0,4.0,12.9,65.0,15000.0,47000.0
24309,2017-07-22,19.2,1.4,3.6,6.5,74.0,11000.0,37000.0
24310,2017-07-23,16.3,8.9,5.1,6.1,80.0,10000.0,37000.0
24311,2017-07-24,15.6,5.1,3.1,3.5,84.0,7000.0,25000.0
