,object_id,weekday_2023,weekday_2022,weekday_2021,weekday_2020,weekday_2019,weekday_2018,weekday_2017,location_code,wkt_lng_lat,wkt_lat_lng,longitude,latitude,geometry
130,131,0,0,0,589,0,794,0,VRA01_0154,POINT(5.16516 52.25302),POINT(52.25302 5.16516),5.16516,52.25302,POINT (139837.9535624096 473909.8448829522)
131,132,0,0,0,633,0,830,0,VRA01_0155,POINT(5.164806 52.252951),POINT(52.252951 5.164806),5.164806,52.252951,POINT (139813.7575444748 473902.2418396201)
132,133,0,0,0,0,0,253,0,VRA01_0156,POINT(5.020376 52.303399),POINT(52.303399 5.020376),5.020376,52.303399,POINT (129979.9187035951 479555.2283579805)
133,134,498,590,0,428,922,567,0,VRA01_0157,POINT(4.65329 52.27778),POINT(52.27778 4.65329),4.65329,52.27778,POINT (104913.8391074296 476894.9408390986)
134,135,669,655,0,0,374,0,0,VRA01_0158,POINT(4.653097 52.278191),POINT(52.278191 4.653097),4.653097,52.278191,POINT (104901.1310478926 476940.8015475762)
135,136,0,957,0,509,1050,1084,0,VRA01_0159,POINT(4.711021 52.318049),POINT(52.318049 4.711021),4.711021,52.318049,POINT (108895.4101684421 481336.955015573)
136,137,253,312,0,0,316,0,0,VRA01_0160,POINT(4.710584 52.318315),POINT(52.318315 4.710584),4.710584,52.318315,POINT (108865.8907853331 481366.8282693932)
137,138,909,0,0,0,0,1171,0,VRA01_0161,POINT(4.69465 52.38386),POINT(52.38386 4.69465),4.69465,52.38386,POINT (107849.1703635911 488669.6797939566)
138,139,0,0,0,0,3211,3235,0,VRA01_0162,POINT(4.643468 52.478107),POINT(52.478107 4.643468),4.643468,52.478107,POINT (104472.3253662648 499190.3366690871)
139,140,0,0,0,183,0,339,0,VRA01_0165,POINT(4.69458 52.44228),POINT(52.44228 4.69458),4.69458,52.44228,POINT (107906.5500161086 495169.6653989966)
140,141,0,0,0,0,2202,2127,0,VRA01_0166,POINT(4.64352 52.47883),POINT(52.47883 4.64352),4.64352,52.47883,POINT (104476.6842269412 499270.7437097204)
141,142,859,1131,0,0,1103,963,0,VRA01_0167,POINT(4.73788 52.502969),POINT(52.502969 4.73788),4.73788,52.502969,POINT (110911.1262752819 501894.89832393)
142,143,0,0,0,0,3664,3529,0,VRA01_0168,POINT(4.639103 52.444727),POINT(52.444727 4.639103),4.639103,52.444727,POINT (104137.418843721 495479.4397306059)
143,144,0,0,0,0,2648,2509,0,VRA01_0169,POINT(4.63927 52.44481),POINT(52.44481 4.63927),4.63927,52.44481,POINT (104148.8680684783 495488.5572460437)
144,145,2846,2063,2121,0,0,1430,0,VRA01_0170,POINT(4.869413 52.321829),POINT(52.321829 4.869413),4.869413,52.321829,POINT (119698.0006721883 481668.5891214756)
145,146,2734,2261,1998,0,0,2584,0,VRA01_0171,POINT(4.868915 52.321668),POINT(52.321668 4.868915),4.868915,52.321668,POINT (119663.9203313502 481650.9185972703)
