cluster_id,accident_count,center_lat,center_lon,lat_std,lon_std,year_range,avg_year,top_streets
126,62,52.34577082003437,4.8405892390779615,0.002680453131056346,0.0013481041231697545,2022-2022,2022.0,"Ringweg-West (29), Einsteinweg (18), Maassluisstraat (3)"
155,62,52.38151037290536,4.846597122338712,0.0024880707655972833,0.003134465085643391,2019-2019,2019.0,"Ringweg-West (25), Bos en Lommerweg (8), Leeuwendalersweg (5)"
113,62,52.34532568082347,4.840986568318789,0.0026138774325637692,0.000853191862402947,2020-2020,2020.0,"Ringweg-West (32), Einsteinweg (21), AMSTERDAM-SLOTERVAART 7 (4)"
109,61,52.337627545288925,4.815815535974294,0.0011867457124487514,0.005898393400890301,2023-2023,2023.0,"Nieuwe Haagseweg (55), Oude Haagseweg (2), AMSTERDAM-SLOTEN 1 (2)"
124,61,52.33666412447969,4.813382451346726,0.0019496382100120042,0.007304649538839588,2019-2019,2019.0,"Nieuwe Haagseweg (55), Oude Haagseweg (2), Anderlechtlaan (2)"
25,60,52.35319431435632,4.964038706892614,0.0007961055706968158,0.0008043193668448051,2021-2021,2021.0,"Ringweg-Oost (41), RYKSWG (11), KP WATERGRAAFSMEER (6)"
141,60,52.36287488265968,4.885414564391643,0.0029459966661800094,0.00723514545015962,2020-2020,2020.0,"Stadhouderskade (19), Van Baerlestraat (6), Weteringschans (4)"
83,60,52.38866009050853,4.914900833301705,0.004430660731868351,0.006260777750725688,2017-2017,2017.0,"Buiksloterweg (9), Meeuwenlaan (8), Nieuwe Leeuwarderweg (6)"
22,60,52.42084691825836,4.871923872612779,0.0006301394781111588,0.0015023302047892564,2018-2018,2018.0,"Coentunnelweg (29), Ringweg-Noord (22), KP COENPLEIN (9)"
21,59,52.36421225204045,4.970296025787389,0.0015737589271760664,0.0005823287652353575,2019-2019,2019.0,"Ringweg-Oost (45), ZEEBURG 14 (13), IJburglaan (1)"
28,59,52.33999485651891,4.94736822817679,0.004172490100532906,0.00755006085829138,2015-2015,2015.0,"Ringweg-Oost (52), Middenweg (3), Veeteeltstraat (1)"
73,59,52.33832540723962,4.822627798111323,0.0018188728644885927,0.008676655909529644,2021-2021,2021.0,"Nieuwe Haagseweg (33), KP DE NIEUWE MEER (13), Johan Huizingalaan (5)"
128,58,52.37755765197896,4.833811782971748,0.0034997192332743587,0.009164402431196993,2016-2016,2016.0,"Burg De Vlugtlaan (17), Ringweg-West (12), Jan van Galenstraat (4)"
120,57,52.34012761880858,4.841809140595183,8.734200757626483e-05,0.00039664532093136465,2018-2018,2018.0,"Ringweg-West (52), AMSTERDAM-SLOTERVAART 7 (3), Helicopterstraat (1)"
