OBJECTNUMMER;Werkdag_2023;Werkdag_2022;Werkdag_2021;Werkdag_2020;Werkdag_2019;Werkdag_2018;Werkdag_2017;LOCATIE;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
81;0;0;0;0;0;0;1347;"VRA01_0102";"POINT(4.79299 52.50041)";"POINT(52.50041 4.79299)";4.79299;52.50041;
82;536;814;0;0;840;840;725;"VRA01_0103";"POINT(4.72575 52.43532)";"POINT(52.43532 4.72575)";4.72575;52.43532;
83;1458;1724;1308;0;1215;1241;1119;"VRA01_0104";"POINT(4.99849 52.34135)";"POINT(52.34135 4.99849)";4.99849;52.34135;
84;297;275;201;0;139;148;0;"VRA01_0105";"POINT(5.000452 52.334756)";"POINT(52.334756 5.000452)";5.000452;52.334756;
85;9993;8971;5731;0;10750;10958;9758;"VRA01_0106";"POINT(4.943271 52.337035)";"POINT(52.337035 4.943271)";4.943271;52.337035;
86;0;0;0;0;0;0;1158;"VRA01_0107";"POINT(4.94823 52.30977)";"POINT(52.30977 4.94823)";4.94823;52.30977;
87;0;1874;1530;0;2196;2143;1730;"VRA01_0108";"POINT(4.93437 52.31789)";"POINT(52.31789 4.93437)";4.93437;52.31789;
88;1891;2384;0;0;2192;2167;0;"VRA01_0109";"POINT(4.8541 52.43611)";"POINT(52.43611 4.8541)";4.8541;52.43611;
89;5107;4716;3791;0;4942;5140;4589;"VRA01_0110";"POINT(4.93225 52.31669)";"POINT(52.31669 4.93225)";4.93225;52.31669;
90;1721;1985;1584;0;2902;0;2324;"VRA01_0111";"POINT(4.92165 52.32231)";"POINT(52.32231 4.92165)";4.92165;52.32231;
91;0;0;0;0;0;0;1157;"VRA01_0112";"POINT(4.79317 52.24238)";"POINT(52.24238 4.79317)";4.79317;52.24238;
92;0;0;0;0;0;0;43;"VRA01_0113";"POINT(4.82542 52.25373)";"POINT(52.25373 4.82542)";4.82542;52.25373;
93;0;0;0;0;0;0;879;"VRA01_0114";"POINT(4.80597 52.49089)";"POINT(52.49089 4.80597)";4.80597;52.49089;
94;0;0;0;0;0;0;1163;"VRA01_0115";"POINT(4.80584 52.4908)";"POINT(52.4908 4.80584)";4.80584;52.4908;
95;2539;2239;2134;0;2356;2623;2415;"VRA01_0116";"POINT(4.94043 52.32663)";"POINT(52.32663 4.94043)";4.94043;52.32663;
96;1430;1456;686;0;70;4046;3182;"VRA01_0117";"POINT(4.848477 52.338673)";"POINT(52.338673 4.848477)";4.848477;52.338673;
97;6031;7214;6355;0;7990;8404;7093;"VRA01_0118";"POINT(4.84613 52.33968)";"POINT(52.33968 4.84613)";4.84613;52.33968;
98;3404;3846;2366;0;5137;4166;4001;"VRA01_0119";"POINT(4.84915 52.340594)";"POINT(52.340594 4.84915)";4.84915;52.340594;
99;0;0;0;0;0;0;489;"VRA01_0120";"POINT(5.00765 52.62335)";"POINT(52.62335 5.00765)";5.00765;52.62335;
100;0;0;0;0;0;0;828;"VRA01_0121";"POINT(4.92062 52.32565)";"POINT(52.32565 4.92062)";4.92062;52.32565;
101;0;0;0;0;0;0;907;"VRA01_0122";"POINT(4.92082 52.32539)";"POINT(52.32539 4.92082)";4.92082;52.32539;
102;1267;1623;0;0;1175;1195;959;"VRA01_0123";"POINT(4.85614 52.42994)";"POINT(52.42994 4.85614)";4.85614;52.42994;
103;0;0;0;0;0;0;394;"VRA01_0124";"POINT(4.82092 52.29228)";"POINT(52.29228 4.82092)";4.82092;52.29228;
104;1367;1472;0;0;1314;1185;1164;"VRA01_0125";"POINT(4.817054 52.2873)";"POINT(52.2873 4.817054)";4.817054;52.2873;
105;0;0;0;0;0;0;750;"VRA01_0126";"POINT(4.80601 52.27491)";"POINT(52.27491 4.80601)";4.80601;52.27491;
106;1296;1429;0;0;1277;1255;1124;"VRA01_0127";"POINT(4.79652 52.26166)";"POINT(52.26166 4.79652)";4.79652;52.26166;
107;0;0;0;0;0;0;597;"VRA01_0128";"POINT(4.80794 52.25801)";"POINT(52.25801 4.80794)";4.80794;52.25801;
108;1657;1889;0;1280;1913;1954;1865;"VRA01_0129";"POINT(4.82551 52.25306)";"POINT(52.25306 4.82551)";4.82551;52.25306;
109;989;1076;0;0;1118;1089;1064;"VRA01_0130";"POINT(4.6745 52.33619)";"POINT(52.33619 4.6745)";4.6745;52.33619;
110;0;0;0;0;0;0;259;"VRA01_0131";"POINT(4.98624 52.32973)";"POINT(52.32973 4.98624)";4.98624;52.32973;
111;1162;1346;984;0;1001;1118;933;"VRA01_0132";"POINT(5.01594 52.32606)";"POINT(52.32606 5.01594)";5.01594;52.32606;
112;0;0;0;0;0;0;1336;"VRA01_0133";"POINT(4.91413 52.41923)";"POINT(52.41923 4.91413)";4.91413;52.41923;
113;0;0;0;0;0;0;1301;"VRA01_0134";"POINT(4.90793 52.4209)";"POINT(52.4209 4.90793)";4.90793;52.4209;
114;0;0;0;0;0;0;899;"VRA01_0135";"POINT(4.89913 52.42427)";"POINT(52.42427 4.89913)";4.89913;52.42427;
115;0;0;0;0;0;644;0;"VRA01_0136";"POINT(4.965916 52.290444)";"POINT(52.290444 4.965916)";4.965916;52.290444;
116;0;0;0;0;0;0;2734;"VRA01_0137";"POINT(4.7985 52.49085)";"POINT(52.49085 4.7985)";4.7985;52.49085;
117;0;0;0;0;0;0;2908;"VRA01_0138";"POINT(4.79866 52.49082)";"POINT(52.49082 4.79866)";4.79866;52.49082;
118;0;0;0;0;0;0;248;"VRA01_0139";"POINT(4.96005 52.5343)";"POINT(52.5343 4.96005)";4.96005;52.5343;
119;447;627;0;0;460;0;401;"VRA01_0140";"POINT(4.92219 52.47689)";"POINT(52.47689 4.92219)";4.92219;52.47689;
120;0;0;0;0;0;0;1194;"VRA01_0141";"POINT(4.82021 52.4526)";"POINT(52.4526 4.82021)";4.82021;52.4526;
121;0;0;0;0;0;0;3282;"VRA01_0142";"POINT(4.82049 52.45245)";"POINT(52.45245 4.82049)";4.82049;52.45245;
122;0;0;0;0;0;0;10851;"VRA01_0143";"POINT(4.86846 52.33778)";"POINT(52.33778 4.86846)";4.86846;52.33778;
123;0;0;0;0;0;0;5634;"VRA01_0144";"POINT(4.86899 52.3378)";"POINT(52.3378 4.86899)";4.86899;52.3378;
124;996;0;0;0;0;0;1198;"VRA01_0145";"POINT(5.05391 52.50486)";"POINT(52.50486 5.05391)";5.05391;52.50486;
125;987;0;0;0;0;0;1330;"VRA01_0146";"POINT(5.05405 52.50498)";"POINT(52.50498 5.05405)";5.05405;52.50498;
126;1025;1110;0;0;1683;1766;1775;"VRA01_0147";"POINT(4.82647 52.41255)";"POINT(52.41255 4.82647)";4.82647;52.41255;
127;0;0;0;0;0;0;942;"VRA01_0148";"POINT(4.95524 52.53568)";"POINT(52.53568 4.95524)";4.95524;52.53568;
128;0;0;0;0;0;0;383;"VRA01_0149";"POINT(5.0153 52.6254)";"POINT(52.6254 5.0153)";5.0153;52.6254;
129;0;0;0;0;0;1023;0;"VRA01_0151";"POINT(5.028826 52.455036)";"POINT(52.455036 5.028826)";5.028826;52.455036;
130;281;319;0;0;322;0;0;"VRA01_0152";"POINT(4.950226 52.426969)";"POINT(52.426969 4.950226)";4.950226;52.426969;
131;0;0;0;589;0;794;0;"VRA01_0154";"POINT(5.16516 52.25302)";"POINT(52.25302 5.16516)";5.16516;52.25302;
132;0;0;0;633;0;830;0;"VRA01_0155";"POINT(5.164806 52.252951)";"POINT(52.252951 5.164806)";5.164806;52.252951;
133;0;0;0;0;0;253;0;"VRA01_0156";"POINT(5.020376 52.303399)";"POINT(52.303399 5.020376)";5.020376;52.303399;
134;498;590;0;428;922;567;0;"VRA01_0157";"POINT(4.65329 52.27778)";"POINT(52.27778 4.65329)";4.65329;52.27778;
135;669;655;0;0;374;0;0;"VRA01_0158";"POINT(4.653097 52.278191)";"POINT(52.278191 4.653097)";4.653097;52.278191;
136;0;957;0;509;1050;1084;0;"VRA01_0159";"POINT(4.711021 52.318049)";"POINT(52.318049 4.711021)";4.711021;52.318049;
137;253;312;0;0;316;0;0;"VRA01_0160";"POINT(4.710584 52.318315)";"POINT(52.318315 4.710584)";4.710584;52.318315;
138;909;0;0;0;0;1171;0;"VRA01_0161";"POINT(4.69465 52.38386)";"POINT(52.38386 4.69465)";4.69465;52.38386;
139;0;0;0;0;3211;3235;0;"VRA01_0162";"POINT(4.643468 52.478107)";"POINT(52.478107 4.643468)";4.643468;52.478107;
140;0;0;0;183;0;339;0;"VRA01_0165";"POINT(4.69458 52.44228)";"POINT(52.44228 4.69458)";4.69458;52.44228;
141;0;0;0;0;2202;2127;0;"VRA01_0166";"POINT(4.64352 52.47883)";"POINT(52.47883 4.64352)";4.64352;52.47883;
142;859;1131;0;0;1103;963;0;"VRA01_0167";"POINT(4.73788 52.502969)";"POINT(52.502969 4.73788)";4.73788;52.502969;
143;0;0;0;0;3664;3529;0;"VRA01_0168";"POINT(4.639103 52.444727)";"POINT(52.444727 4.639103)";4.639103;52.444727;
144;0;0;0;0;2648;2509;0;"VRA01_0169";"POINT(4.63927 52.44481)";"POINT(52.44481 4.63927)";4.63927;52.44481;
145;2846;2063;2121;0;0;1430;0;"VRA01_0170";"POINT(4.869413 52.321829)";"POINT(52.321829 4.869413)";4.869413;52.321829;
146;2734;2261;1998;0;0;2584;0;"VRA01_0171";"POINT(4.868915 52.321668)";"POINT(52.321668 4.868915)";4.868915;52.321668;
147;1421;1662;0;0;1590;1683;3243;"VRA01_0172";"POINT(4.827014 52.426895)";"POINT(52.426895 4.827014)";4.827014;52.426895;
148;3297;3651;2313;0;5129;4608;4419;"VRA01_0173";"POINT(4.849024 52.340624)";"POINT(52.340624 4.849024)";4.849024;52.340624;
149;528;777;0;0;616;0;0;"VRA01_0174";"POINT(4.952465 52.423505)";"POINT(52.423505 4.952465)";4.952465;52.423505;
150;1832;1916;0;0;1609;0;0;"VRA01_0175";"POINT(4.76671 52.35048)";"POINT(52.35048 4.76671)";4.76671;52.35048;
151;342;348;275;0;288;0;0;"VRA01_0176";"POINT(5.01752 52.27027)";"POINT(52.27027 5.01752)";5.01752;52.27027;
152;0;0;0;0;1016;0;0;"VRA01_0177";"POINT(4.849837 52.400466)";"POINT(52.400466 4.849837)";4.849837;52.400466;
153;646;635;0;0;502;0;0;"VRA01_0178";"POINT(4.855467 52.394792)";"POINT(52.394792 4.855467)";4.855467;52.394792;
154;2037;1405;0;0;1660;0;0;"VRA01_0179";"POINT(4.860794 52.395719)";"POINT(52.395719 4.860794)";4.860794;52.395719;
155;669;849;0;0;471;0;0;"VRA01_0180";"POINT(4.84378 52.4018)";"POINT(52.4018 4.84378)";4.84378;52.4018;
156;710;732;306;0;0;0;0;"VRA01_0181";"POINT(4.80215 52.32557)";"POINT(52.32557 4.80215)";4.80215;52.32557;
157;1086;1351;568;0;0;0;0;"VRA01_0182";"POINT(4.81326 52.31315)";"POINT(52.31315 4.81326)";4.81326;52.31315;
158;1118;1411;647;0;0;0;0;"VRA01_0183";"POINT(4.81458 52.31272)";"POINT(52.31272 4.81458)";4.81458;52.31272;
159;1007;1234;0;0;0;0;0;"VRA01_0184";"POINT(4.80557 52.30478)";"POINT(52.30478 4.80557)";4.80557;52.30478;
160;753;1025;0;0;0;0;0;"VRA01_0185";"POINT(4.77644 52.28215)";"POINT(52.28215 4.77644)";4.77644;52.28215;
161;0;127;0;0;0;0;0;"VRA01_0186";"POINT(4.78434 52.28895)";"POINT(52.28895 4.78434)";4.78434;52.28895;
162;775;392;0;0;0;0;0;"VRA01_0187";"POINT(4.854304 52.398619)";"POINT(52.398619 4.854304)";4.854304;52.398619;
163;264;187;0;0;0;0;0;"VRA01_0188";"POINT(4.80074 52.32824)";"POINT(52.32824 4.80074)";4.80074;52.32824;
164;1542;0;0;0;0;0;0;"VRA01_0189";"POINT(4.65597 52.40381)";"POINT(52.40381 4.65597)";4.65597;52.40381;
165;74;0;0;0;0;0;0;"VRA01_0190";"POINT(5.0393 52.48822)";"POINT(52.48822 5.0393)";5.0393;52.48822;
166;225;0;0;0;0;0;0;"VRA01_0191";"POINT(5.03985 52.50329)";"POINT(52.50329 5.03985)";5.03985;52.50329;
167;378;0;0;0;0;0;0;"VRA01_0193";"POINT(5.03841 52.50241)";"POINT(52.50241 5.03841)";5.03841;52.50241;
168;508;0;0;0;0;0;0;"VRA01_0194";"POINT(5.04009 52.50372)";"POINT(52.50372 5.04009)";5.04009;52.50372;
169;187;0;0;0;0;0;0;"VRA01_0195";"POINT(4.80736 52.31501)";"POINT(52.31501 4.80736)";4.80736;52.31501;
170;1358;0;0;0;0;0;0;"VRA01_0196";"POINT(5.05621 52.4986)";"POINT(52.4986 5.05621)";5.05621;52.4986;

